Semua Laporan Iklan CPC - Shopee Indonesia
Username,cleorabeauty
Nama Toko,Cleora Beauty Official Shop
ID Toko,215119251
Waktu Laporan Dibuat,22/02/2026 22:35
Periode,21/02/2026 - 21/02/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
1,Automatically select products Ad,Berjalan,,-,-,GMV Max Auto Bidding (Shop),Semua Penempatan,05/02/2026 00:00:00,Tidak Terbatas,25623,323,1.26%,17,11,5.26%,3.41%,22681.47,35053.17,17,11,2384409,1678876,385585,6.18,4.35,16.17%,22.97%,-,-,-
2,Iklan Toko (Bidding Otomatis),Berjalan,Iklan Toko,-,Tampilan Iklan Otomatis,Bidding Otomatis,-,01/02/2024 00:00:00,Tidak Terbatas,5096,362,7.10%,39,37,10.77%,10.22%,10922.71,11513.13,39,37,2951562,2836625,425986,6.93,6.66,14.43%,15.02%,34741,40,0.12%
3,[TERLARIS] Cleora 3 Minutes Exfoliating Peeling Gel 50gr - Scrub Facewash Peel Skincare with AHA BHA PHA Membantu Mengangkat Sel kulit Mati Sisa Kotoran Exfoliasi Wajah Kosmetik Eksfoliasi Brightening Extract Hyaluronic Acid Niacinamide Mencerahkan Muka [32],Berjalan,Iklan Produk,16119314280,-,GMV Max ROAS,Semua Penempatan,16/11/2024 00:00:00,Tidak Terbatas,50211,1564,3.11%,213,211,13.62%,13.49%,8999.38,9084.68,214,212,11673383,11522383,1916868,6.09,6.01,16.42%,16.64%,-,-,-
4,[TERLARIS] Cleora Exclusive Glow Jelly Booster Moisturizer | Skincare Pelembab Wajah Wanita Efektif Mencerahkan Melembabkan Mengatasi Muka Kusam Dark Spot Memperbaiki Skin Barrier Anti Aging Brightening Mosturizer Day Cream Facial Calming Day Night [14],Berjalan,Iklan Produk,6693484131,-,GMV Max ROAS,Semua Penempatan,18/11/2024 00:00:00,Tidak Terbatas,35981,726,2.02%,64,60,8.82%,8.26%,12965.72,13830.10,69,65,5260402,4887473,829806,6.34,5.89,15.77%,16.98%,-,-,-
5,[ISI 2 PCS] Cleora Beauty Exclusive Glow Jelly Booster 30gr 2pcs | Special Bundle Twinpack Moisturizer Untuk Brightening Dan Anti Aging Wanita Pria Day Cream Night Cream Pemutih Wajah Pelembab Wajah [7],Berjalan,Iklan Produk,23925213695,-,GMV Max ROAS,Semua Penempatan,04/11/2024 00:00:00,Tidak Terbatas,30270,415,1.37%,54,51,13.01%,12.29%,19617.59,20771.57,55,52,7079531,6749345,1059350,6.68,6.37,14.96%,15.70%,-,-,-
6,[SPESIAL LIVE] Cleora 3 Minutes Exfoliating Peeling Gel - Face Scrub Exfoliasi Wajah With AHA BHA PHA Untuk Wanita Pria Membantu Mengangkat Sel Kulit Mati Kotoran Skincare Niacinamide Eksfoliasi Muka Brightening Scincare Mencerahkan Komedo Acne Day Night [9],Berjalan,Iklan Produk,17799069923,-,GMV Max ROAS,Semua Penempatan,05/02/2025 00:00:00,Tidak Terbatas,26420,585,2.21%,47,36,8.03%,6.15%,13113.00,17119.75,48,37,3540441,2767541,616311,5.74,4.49,17.41%,22.27%,-,-,-
7,[SPECIAL OFFER] CLEORA - Exclusive Glow Jelly Booster Vit C 30gr - Moisturizer Gel Untuk Mencerahkan Wajah Memperbaiki Skin Barrier Skincare Wanita Pria Day Cream Night Cream Brightening Pemutiih Wajah  Cream Pelembab dan Anti Aging,Berjalan,Iklan Produk,27423038065,-,GMV Max ROAS,Semua Penempatan,25/01/2025 00:00:00,Tidak Terbatas,25484,733,2.88%,63,56,8.59%,7.64%,13176.72,14823.81,65,58,4561493,4002767,830133,5.49,4.82,18.20%,20.74%,-,-,-
8,[PROMO PAKET BUNDLE] CLEORA GLOW CARE SET | Moisturizer Peeling Serum Exfoliasi Toner Sunscreen | Brightening Whitening Dark Spot Repair Barrier Acne Totol Care | Mencerahkan Wajah Kurangi Flek Hitam Bekas Jerawat Perawatan Kulit Set,Berjalan,Iklan Produk,29421813371,-,GMV Max ROAS,Semua Penempatan,21/01/2025 00:00:00,Tidak Terbatas,18515,335,1.81%,18,12,5.37%,3.58%,26903.41,40355.11,19,13,2462342,1982657,484261,5.08,4.09,19.67%,24.42%,-,-,-
9,Cleora Beauty Glow Maximum Package (Exfoliating Gel + Exclusive Glow Jelly Booster Vit C) [6],Berjalan,Iklan Produk,20644775871,-,GMV Max ROAS,Semua Penempatan,04/11/2024 00:00:00,Tidak Terbatas,15912,373,2.34%,32,26,8.58%,6.97%,15200.69,18708.54,32,26,3329524,2806108,486422,6.84,5.77,14.61%,17.33%,-,-,-
10,[BUNDLE TERLARIS] Cleora Skincare 1 Set Lengkap - Day Cream Pembersih Wajah Membantu Mencerahkan & Melembabkan Kulit Sunscreen Moisturizer Melindungi Dari Sinar UVA UVB Facial Wash Exfoliasi Whitening Acne Eksfoliasi Mosturizer All Skin Pria Wanita,Berjalan,Iklan Produk,44365411272,-,GMV Max ROAS,Semua Penempatan,30/08/2025 00:00:00,Tidak Terbatas,15319,333,2.17%,14,11,4.20%,3.30%,23590.50,30024.27,14,11,2053973,1779980,330267,6.22,5.39,16.08%,18.55%,-,-,-
